der_name,electric_grid_name,der_type,model_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,active_power,reactive_power
22,case141_dist,fixed_load,commercial,51,1,0,0,wye,-63799.99999999999,-39500.0
23,case141_dist,fixed_load,commercial,52,1,0,0,wye,-42500.0,-26300.0
24,case141_dist,fixed_load,commercial,55,1,0,0,wye,-21300.0,-13200.0
25,case141_dist,fixed_load,commercial,57,1,0,0,wye,-255000.0,-158000.0
26,case141_dist,fixed_load,commercial,58,1,0,0,wye,-127500.0,-79000.0
27,case141_dist,fixed_load,commercial,60,1,0,0,wye,-255000.0,-158000.0
28,case141_dist,fixed_load,commercial,61,1,0,0,wye,-170000.0,-105400.0
29,case141_dist,fixed_load,commercial,63,1,0,0,wye,-255000.0,-158000.0
30,case141_dist,fixed_load,commercial,64,1,0,0,wye,-127500.0,-79000.0
31,case141_dist,fixed_load,commercial,65,1,0,0,wye,-191300.0,-118500.0
32,case141_dist,fixed_load,commercial,66,1,0,0,wye,-42500.0,-26300.0
33,case141_dist,fixed_load,commercial,67,1,0,0,wye,-85000.0,-52700.0
34,case141_dist,fixed_load,commercial,68,1,0,0,wye,-255000.0,-158000.0
35,case141_dist,fixed_load,commercial,70,1,0,0,wye,-255000.0,-158000.0
36,case141_dist,fixed_load,commercial,71,1,0,0,wye,-127500.0,-79000.0
37,case141_dist,fixed_load,commercial,72,1,0,0,wye,-255000.0,-158000.0
38,case141_dist,fixed_load,commercial,73,1,0,0,wye,-255000.0,-158000.0
39,case141_dist,fixed_load,commercial,74,1,0,0,wye,-38200.0,-23700.0
40,case141_dist,fixed_load,commercial,75,1,0,0,wye,-63799.99999999999,-39500.0
41,case141_dist,fixed_load,commercial,76,1,0,0,wye,-127500.0,-79000.0
42,case141_dist,fixed_load,commercial,78,1,0,0,wye,-427100.0,-264700.0
43,case141_dist,fixed_load,commercial,79,1,0,0,wye,-637500.0,-395100.0
44,case141_dist,fixed_load,commercial,81,1,0,0,wye,-127500.0,-79000.0
45,case141_dist,fixed_load,commercial,82,1,0,0,wye,-63799.99999999999,-39500.0
46,case141_dist,fixed_load,commercial,83,1,0,0,wye,-191300.0,-118500.0
47,case141_dist,fixed_load,commercial,85,1,0,0,wye,-425000.0,-263400.0
48,case141_dist,fixed_load,commercial,86,1,0,0,wye,-127500.0,-79000.0
49,case141_dist,fixed_load,commercial,87,1,0,0,wye,-63799.99999999999,-39500.0
50,case141_dist,fixed_load,commercial,88,1,0,0,wye,-55300.0,-34200.0
51,case141_dist,fixed_load,commercial,93,1,0,0,wye,-93500.0,-57900.0
52,case141_dist,fixed_load,commercial,95,1,0,0,wye,-127500.0,-79000.0
53,case141_dist,fixed_load,commercial,97,1,0,0,wye,-255000.0,-158000.0
54,case141_dist,fixed_load,commercial,99,1,0,0,wye,-255000.0,-158000.0
55,case141_dist,fixed_load,commercial,100,1,0,0,wye,-12700.0,-7900.000000000001
56,case141_dist,fixed_load,commercial,102,1,0,0,wye,-106200.0,-65800.0
57,case141_dist,fixed_load,commercial,104,1,0,0,wye,-255000.0,-158000.0
58,case141_dist,fixed_load,commercial,105,1,0,0,wye,-127500.0,-79000.0
59,case141_dist,fixed_load,commercial,106,1,0,0,wye,-427100.0,-264700.0
60,case141_dist,fixed_load,commercial,108,1,0,0,wye,-637500.0,-395100.0
61,case141_dist,fixed_load,commercial,109,1,0,0,wye,-637500.0,-395100.0
62,case141_dist,fixed_load,commercial,110,1,0,0,wye,-21300.0,-13200.0
63,case141_dist,fixed_load,commercial,111,1,0,0,wye,-425000.0,-263400.0
64,case141_dist,fixed_load,commercial,112,1,0,0,wye,-63799.99999999999,-39500.0
65,case141_dist,fixed_load,commercial,115,1,0,0,wye,-255000.0,-158000.0
66,case141_dist,fixed_load,commercial,116,1,0,0,wye,-55300.0,-34200.0
67,case141_dist,fixed_load,commercial,118,1,0,0,wye,-93500.0,-57900.0
68,case141_dist,fixed_load,commercial,122,1,0,0,wye,-85000.0,-52700.0
69,case141_dist,fixed_load,commercial,123,1,0,0,wye,-106200.0,-65800.0
70,case141_dist,fixed_load,commercial,126,1,0,0,wye,-63799.99999999999,-39500.0
71,case141_dist,fixed_load,commercial,127,1,0,0,wye,-63799.99999999999,-39500.0
72,case141_dist,fixed_load,commercial,128,1,0,0,wye,-93500.0,-57900.0
73,case141_dist,fixed_load,commercial,129,1,0,0,wye,-95600.0,-59300.0
74,case141_dist,fixed_load,commercial,131,1,0,0,wye,-63799.99999999999,-39500.0
75,case141_dist,fixed_load,commercial,132,1,0,0,wye,-38200.0,-23700.0
76,case141_dist,fixed_load,commercial,133,1,0,0,wye,-29700.0,-18400.0
77,case141_dist,fixed_load,commercial,134,1,0,0,wye,-21300.0,-13200.0
78,case141_dist,fixed_load,commercial,135,1,0,0,wye,-63799.99999999999,-39500.0
79,case141_dist,fixed_load,commercial,136,1,0,0,wye,-46700.0,-29000.0
80,case141_dist,fixed_load,commercial,137,1,0,0,wye,-42500.0,-26300.0
81,case141_dist,fixed_load,commercial,138,1,0,0,wye,-42500.0,-26300.0
82,case141_dist,fixed_load,commercial,139,1,0,0,wye,-127500.0,-79000.0
83,case141_dist,fixed_load,commercial,140,1,0,0,wye,-63799.99999999999,-39500.0
