der_name,electric_grid_name,der_type,der_model_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,active_power_nominal,reactive_power_nominal
Load 73,kerber_dorfnetz,fixed_load,mixed_commercial_residential,73,1,0,0,wye,-6000.0,-1972.104631073179
Load 75,kerber_dorfnetz,fixed_load,mixed_commercial_residential,75,1,0,0,wye,-6000.0,-1972.104631073179
Load 77,kerber_dorfnetz,fixed_load,mixed_commercial_residential,77,1,0,0,wye,-6000.0,-1972.104631073179
Load 79,kerber_dorfnetz,fixed_load,mixed_commercial_residential,79,1,0,0,wye,-6000.0,-1972.104631073179
Load 81,kerber_dorfnetz,fixed_load,mixed_commercial_residential,81,1,0,0,wye,-6000.0,-1972.104631073179
Load 83,kerber_dorfnetz,fixed_load,mixed_commercial_residential,83,1,0,0,wye,-6000.0,-1972.104631073179
Load 85,kerber_dorfnetz,fixed_load,mixed_commercial_residential,85,1,0,0,wye,-6000.0,-1972.104631073179
Load 87,kerber_dorfnetz,fixed_load,mixed_commercial_residential,87,1,0,0,wye,-6000.0,-1972.104631073179
Load 89,kerber_dorfnetz,fixed_load,mixed_commercial_residential,89,1,0,0,wye,-6000.0,-1972.104631073179
Load 91,kerber_dorfnetz,fixed_load,mixed_commercial_residential,91,1,0,0,wye,-6000.0,-1972.104631073179
Load 93,kerber_dorfnetz,fixed_load,mixed_commercial_residential,93,1,0,0,wye,-6000.0,-1972.104631073179
Load 95,kerber_dorfnetz,fixed_load,mixed_commercial_residential,95,1,0,0,wye,-6000.0,-1972.104631073179
Load 97,kerber_dorfnetz,fixed_load,mixed_commercial_residential,97,1,0,0,wye,-6000.0,-1972.104631073179
Load 99,kerber_dorfnetz,fixed_load,mixed_commercial_residential,99,1,0,0,wye,-6000.0,-1972.104631073179
Load 101,kerber_dorfnetz,fixed_load,mixed_commercial_residential,101,1,0,0,wye,-6000.0,-1972.104631073179
Load 103,kerber_dorfnetz,fixed_load,mixed_commercial_residential,103,1,0,0,wye,-6000.0,-1972.104631073179
Load 105,kerber_dorfnetz,fixed_load,mixed_commercial_residential,105,1,0,0,wye,-6000.0,-1972.104631073179
Load 107,kerber_dorfnetz,fixed_load,mixed_commercial_residential,107,1,0,0,wye,-6000.0,-1972.104631073179
Load 109,kerber_dorfnetz,fixed_load,mixed_commercial_residential,109,1,0,0,wye,-6000.0,-1972.104631073179
Load 111,kerber_dorfnetz,fixed_load,mixed_commercial_residential,111,1,0,0,wye,-6000.0,-1972.104631073179
Load 113,kerber_dorfnetz,fixed_load,mixed_commercial_residential,113,1,0,0,wye,-6000.0,-1972.104631073179
Load 115,kerber_dorfnetz,fixed_load,mixed_commercial_residential,115,1,0,0,wye,-6000.0,-1972.104631073179
